Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
381362,The Rise of Silas Lapham,William Dean Howells,"Howells, William Dean",Kermit Vanderbilt,"=""0140390308""","=""9780140390308""",4,3.40,Penguin,Paperback,400,1983,1885,1999/01/01,2007/11/29,"american, classics, for-school","american (#18), classics (#34), for-school (#32)",read,,,,,,,0,,,,,
15997,Paradise Lost,John Milton,"Milton, John",John      Leonard,"=""0140424393""","=""9780140424393""",4,3.79,Penguin Classics,Paperback,453,2003,1667,1997/01/01,2007/11/29,"british, classics","british (#9), classics (#33)",read,,,,,,,0,,,,,
28862,The Prince,Niccolò Machiavelli,"Machiavelli, Niccolò","Adolph Caso, Rufus Goodwin, Benjamin Martinez","=""0937832383""","=""9780937832387""",4,3.77,Dante University of America Press,Paperback,140,2003,1513,,2007/11/29,"philosophy, classics, italian","philosophy (#12), classics (#24), italian (#1)",read,,,,,,,0,,,,,
7171856,The Puppet Masters,Robert A. Heinlein,"Heinlein, Robert A.",,"=""143913376X""","=""9781439133767""",3,3.86,Baen,Paperback,416,2010,1951,2000/01/01,2007/11/29,"scifi, for-school","scifi (#50), for-school (#53)",read,,,,,,,0,,,,,
350,Stranger in a Strange Land,Robert A. Heinlein,"Heinlein, Robert A.",,"=""0441788386""","=""9780441788385""",5,3.90,Ace,Paperback,528,1991,1961,2000/01/01,2007/11/29,scifi,scifi (#48),read,,,,,,,0,,,,,
83763,Prey,Michael Crichton,"Crichton, Michael",,"=""0061015725""","=""9780061015724""",2,3.71,Avon,Paperback,507,2003,2002,2004/01/01,2007/11/29,scifi,scifi (#36),read,,,,,,,0,,,,,
7669,Timeline,Michael Crichton,"Crichton, Michael",,"=""0099244721""","=""9780099244721""",2,3.82,Arrow Books,Mass Market Paperback,489,2000,1999,1999/01/01,2007/11/29,scifi,scifi (#30),read,,,,,,,0,,,,,
7673,Eaters of the Dead,Michael Crichton,"Crichton, Michael",,"=""0060891564""","=""9780060891565""",4,3.64,Avon,Mass Market Paperback,304,2006,1976,1998/01/01,2007/11/29,"for-school, alt-history","for-school (#21), alt-history (#2)",read,,,,,,,0,,,,,
7670,The Andromeda Strain,Michael Crichton,"Crichton, Michael",,"=""0060541814""","=""9780060541811""",4,3.87,Avon Books,Paperback,327,2003,1969,,2007/11/29,scifi,scifi (#27),read,,,,,,,0,,,,,
452196,"Jurassic Park (Parque Jurásico, #1)",Michael Crichton,"Crichton, Michael",,"=""9871138806""","=""9789871138807""",4,3.96,DeBolsillo (Argentina),Paperback,466,2004,1990,,2007/11/29,scifi,scifi (#26),read,,,,,,,0,,,,,
455373,Sphere,Michael Crichton,"Crichton, Michael",,"=""0345418972""","=""9780345418975""",4,3.76,Ballantine Books,Paperback,371,1997,1987,1995/01/01,2007/11/29,scifi,scifi (#25),read,,,,,,,0,,,,,
14743,The God Delusion,Richard Dawkins,"Dawkins, Richard",,"=""0618680004""","=""9780618680009""",5,3.89,Houghton Mifflin Co. (Boston/NY),Hardcover,374,2006,2006,2007/01/01,2007/11/29,philosophy,philosophy (#10),read,,,,,,,0,,,,,
